Paper_ID,DOI,Material_Parent_ID,ML_Condition_ID,Observation_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Confidence,Recovery_Status
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,Cr_at%,9.8,at.%,VERIFIED_WORKBOOK,Sec.3.5 pp.10-15; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,SFE_mJ_m2,-4.82,mJ/m2,VERIFIED_WORKBOOK,Sec.3.5 pp.10-15; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,DeltaG_FCC_HCP_J_mol,-385,J/mol,VERIFIED_WORKBOOK,Sec.3.5 pp.10-15; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,Initial_HCP_fraction,0,fraction,VERIFIED_WORKBOOK,Sec.3.5 pp.10-15; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,Initial_Sigma3_TB_fraction,0.381,fraction,VERIFIED_WORKBOOK,Sec.3.5 pp.10-15; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,Grain_size_um,54,um,VERIFIED_WORKBOOK,Sec.3.5 pp.10-15; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,Grain_Size_Including_TB_as_HAB_um,28,um,VERIFIED_WORKBOOK,Sec.3.5 pp.10-15; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,FCC_lattice_a_XRD_A,3.625,A,VERIFIED_WORKBOOK,Sec.3.5 pp.10-15; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,Effective_TRIP,1.0,binary,VERIFIED_WORKBOOK,Sec.3.5 pp.10-15; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,Slip,1,binary,VERIFIED_WORKBOOK,Sec.3.5 pp.10-15; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,Fe_at%,38.3,at.%,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,Mn_at%,40.5,at.%,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,Co_at%,9.7,at.%,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,Cr_at%,9.8,at.%,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,Mo_at%,1.7,at.%,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,SFE_mJ_m2,-6.0,mJ/m2,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,DeltaG_FCC_HCP_J_mol,-406,J/mol,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,Initial_HCP_fraction,0,fraction,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,Initial_Sigma3_TB_fraction,0.528,fraction,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,Grain_size_um,40,um,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_77K,P012_OBS_MO_77K_condition,Grain_Size_Including_TB_as_HAB_um,26,um,VERIFIED_WORKBOOK,"Sec.3.5 pp.10-16; Figs.9,11,14; Conclusions p.18",High,VERIFIED
