Column_Name,Scientific_Family,Schema_Role,Experimental_Coverage_n,Experimental_Coverage_pct,CORE_M2,Pilot_M2_Action
Homogenization_time_h,PROCESSING,PREDICTOR_SAFE_DIRECT,38,55.072,False,EXCLUDE
Hot_rolling_T_K,PROCESSING,PREDICTOR_SAFE_DIRECT,27,39.13,False,EXCLUDE
Hot_rolling_reduction_pct,PROCESSING,PREDICTOR_SAFE_DIRECT,22,31.884,False,EXCLUDE
Cold_rolling_reduction_pct,PROCESSING,PREDICTOR_SAFE_DIRECT,41,59.42,False,EXCLUDE
Annealing_T_K,PROCESSING,PREDICTOR_SAFE_DIRECT,53,76.812,False,EXCLUDE
Annealing_time_min,PROCESSING,PREDICTOR_SAFE_DIRECT,49,71.014,False,EXCLUDE
Cooling_route,PROCESSING,PREDICTOR_SAFE_DIRECT,44,63.768,False,EXCLUDE
Test_T_K,TEST_CONDITIONS,PREDICTOR_SAFE_DIRECT,35,50.725,True,INCLUDE_COMPLETE_CASE_ONLY
Strain_rate_s-1,TEST_CONDITIONS,PREDICTOR_SAFE_DIRECT,59,85.507,True,INCLUDE_COMPLETE_CASE_ONLY
Gauge_length_mm,TEST_CONDITIONS,METADATA_ONLY,41,59.42,False,EXCLUDE
Gauge_width_mm,TEST_CONDITIONS,METADATA_ONLY,34,49.275,False,EXCLUDE
Specimen_thickness_mm,TEST_CONDITIONS,METADATA_ONLY,34,49.275,False,EXCLUDE
True_strain,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,0,0.0,False,EXCLUDE
Local_strain,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,0,0.0,False,EXCLUDE
Deformation_stage,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,18,26.087,False,EXCLUDE
Grain_size_um,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,41,59.42,False,EXCLUDE
Grain_size_SD_um,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,11,15.942,False,EXCLUDE
Initial_FCC_fraction,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,32,46.377,False,EXCLUDE
Initial_HCP_fraction,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,48,69.565,False,EXCLUDE
Initial_twin_boundary_status,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,31,44.928,False,EXCLUDE
SFE_mJ_m2,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,21,30.435,False,EXCLUDE
SFE_error_mJ_m2,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,0,0.0,False,EXCLUDE
SFE_method,PHYSICS_THERMODYNAMICS,PROVENANCE_ONLY,24,34.783,False,EXCLUDE
DeltaG_FCC_HCP_J_mol,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,9,13.043,False,EXCLUDE
DeltaG_method,PHYSICS_THERMODYNAMICS,PROVENANCE_ONLY,9,13.043,False,EXCLUDE
Elastic_modulus_GPa,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,4,5.797,False,EXCLUDE
Shear_modulus_GPa,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE
Poisson_ratio,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE
Lattice_parameter_nm,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,8,11.594,False,EXCLUDE
Atomic_size_misfit_pct,PHYSICS_THERMODYNAMICS,METADATA_ONLY,3,4.348,False,EXCLUDE
CSRO_present,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE
TRIP,TARGET,TARGET_ONLY,14,20.29,False,EXCLUDE
TWIP,TARGET,TARGET_ONLY,10,14.493,False,EXCLUDE
Slip,TARGET,TARGET_ONLY,41,59.42,False,EXCLUDE
Stacking_faulting,TARGET,TARGET_ONLY,10,14.493,False,EXCLUDE
HCP_to_FCC_reversion,TARGET,TARGET_ONLY,10,14.493,False,EXCLUDE
Dominant_mechanism,TARGET,TARGET_ONLY,33,47.826,False,EXCLUDE
HCP_fraction_at_condition,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,6,8.696,False,EXCLUDE
Twin_fraction_or_Sigma3,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,0,0.0,False,EXCLUDE
Twin_thickness_nm,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,0,0.0,False,EXCLUDE
HCP_lath_or_lamella_note,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,9,13.043,False,EXCLUDE
YS_MPa,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,38,55.072,False,EXCLUDE
YS_error_MPa,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,8,11.594,False,EXCLUDE
UTS_MPa,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,36,52.174,False,EXCLUDE
UTS_error_MPa,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,8,11.594,False,EXCLUDE
Elongation_pct,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,32,46.377,False,EXCLUDE
Elongation_error_pct,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,8,11.594,False,EXCLUDE
Uniform_elongation_pct,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,8,11.594,False,EXCLUDE
Critical_twin_stress_MPa,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,2,2.899,False,EXCLUDE
Critical_TRIP_stress_MPa,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,2,2.899,False,EXCLUDE
Twin_onset_true_strain,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,2,2.899,False,EXCLUDE
TRIP_onset_true_strain,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,2,2.899,False,EXCLUDE
Adiabatic_temperature_K,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,1,1.449,False,EXCLUDE
SFE_increase_dynamic_mJ_m2,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,1,1.449,False,EXCLUDE
Evidence_TRIP,TARGET,TARGET_ONLY,56,81.159,False,EXCLUDE
Evidence_TWIP,TARGET,TARGET_ONLY,54,78.261,False,EXCLUDE
Characterization_methods,PROVENANCE_QC,PROVENANCE_ONLY,36,52.174,False,EXCLUDE
Image_usable_for_descriptors,PROVENANCE_QC,METADATA_ONLY,18,26.087,False,EXCLUDE
Source_location,PROVENANCE_QC,PROVENANCE_ONLY,64,92.754,False,EXCLUDE
Label_confidence,PROVENANCE_QC,PROVENANCE_ONLY,64,92.754,False,EXCLUDE
Notes,PROVENANCE_QC,PROVENANCE_ONLY,37,53.623,False,EXCLUDE
Unmapped_Fields,PROVENANCE_QC,PROVENANCE_ONLY,6,8.696,False,EXCLUDE
Source_File,PROVENANCE_QC,PROVENANCE_ONLY,51,73.913,False,EXCLUDE
Source_Sheet,PROVENANCE_QC,PROVENANCE_ONLY,51,73.913,False,EXCLUDE
Schema_Mapping_Review,PROVENANCE_QC,PROVENANCE_ONLY,6,8.696,False,EXCLUDE
QC_Status,PROVENANCE_QC,PROVENANCE_ONLY,18,26.087,False,EXCLUDE
Requires_Manual_Review,PROVENANCE_QC,PROVENANCE_ONLY,18,26.087,False,EXCLUDE
Row_Role,PROVENANCE_QC,PROVENANCE_ONLY,26,37.681,False,EXCLUDE
Target_Review_Status,PROVENANCE_QC,PROVENANCE_ONLY,25,36.232,False,EXCLUDE
Schema_Review_Status,PROVENANCE_QC,PROVENANCE_ONLY,18,26.087,False,EXCLUDE
Parent_Experiment_ID,IDENTITY_GROUPING,GROUPING_ONLY,64,92.754,False,EXCLUDE
ML_Condition_ID,IDENTITY_GROUPING,IDENTIFIER_ONLY,69,100.0,False,EXCLUDE
Observation_ID,IDENTITY_GROUPING,IDENTIFIER_ONLY,69,100.0,False,EXCLUDE
Data_Origin,PROVENANCE_QC,PROVENANCE_ONLY,69,100.0,False,EXCLUDE
Observation_Role,PROVENANCE_QC,PROVENANCE_ONLY,69,100.0,False,EXCLUDE
Deformation_Stage_ID,IDENTITY_GROUPING,IDENTIFIER_ONLY,0,0.0,False,EXCLUDE
Grouping_Review_Required,PROVENANCE_QC,PROVENANCE_ONLY,69,100.0,False,EXCLUDE
Grouping_Confidence,PROVENANCE_QC,PROVENANCE_ONLY,69,100.0,False,EXCLUDE
Grouping_Reason,PROVENANCE_QC,PROVENANCE_ONLY,43,62.319,False,EXCLUDE
Recovered_Grain_size_um,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,8,11.594,False,EXCLUDE
Recovered_ISFE_DFT_0K_mJ_m2,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,0,0.0,False,EXCLUDE
Recovered_DeltaG_FCC_HCP_300K_J_mol,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE
Recovered_YS_MPa,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,9,13.043,False,EXCLUDE
Recovered_UTS_MPa,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,6,8.696,False,EXCLUDE
Recovered_Elongation_pct,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,5,7.246,False,EXCLUDE
Recovered_Uniform_elongation_pct,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,6,8.696,False,EXCLUDE
